Vikings,35,Patriots,14
Eagles,06,Redskins,24
Packers,17,Bears,35
Giants,34,Cardinals,17
Bengals,30,Oilers,20
Colts,20,Bills,14
Steelers,16,Falcons,27
Chargers,17,Broncos,17
Jets,10,Dolphins,16
49ers,38,Saints,27
Lions,28,Rams,23
Jets,20,Colts,35
Chiefs,13,Chargers,31
Patriots,07,Bengals,45
Vikings,37,Falcons,07
Steelers,20,Eagles,30
Browns,27,Broncos,13
Cardinals,27,Redskins,28
Bills,07,Dolphins,45
Packers,00,Lions,20
Rams,31,Giants,03
Bears,24,Saints,03
49ers,38,Raiders,07
Oilers,10,Cowboys,52
Steelers,15,Bears,17
Chiefs,14,Chargers,21
Cowboys,49,Bills,37
Rams,20,Saints,24
Jets,00,Colts,22
Eagles,14,Bengals,37
49ers,17,Falcons,20
Oilers,00,Browns,31
Raiders,06,Patriots,20
Dolphins,10,Broncos,10
Redskins,24,Cardinals,17
Giants,42,Packers,40
Vikings,16,Lions,13
Dolphins,29,Bills,14
Falcons,20,Rams,20
Broncos,13,Packers,34
49ers,38,Saints,20
Browns,14,Colts,13
Redskins,30,Giants,03
Bengals,10,Steelers,21
Chiefs,20,Oilers,16
Cowboys,42,Eagles,07
Lions,34,Patriots,07
Bears,20,Vikings,17
Raiders,34,Chargers,00
Jets,10,Cardinals,17
Bills,00,Vikings,19
Saints,13,Oilers,13
Jets,14,Dolphins,10
Bears,03,Rams,17
Chargers,17,Steelers,21
Falcons,38,Lions,41
Redskins,20,Cowboys,16
49ers,31,Eagles,03
Colts,23,Patriots,03
Bengals,17,Packers,20
Chiefs,16,Broncos,03
Giants,21,Cardinals,20
Raiders,34,Browns,20
Dolphins,23,Bengals,13
Oilers,13,Redskins,22
Jets,00,Patriots,20
Rams,20,49ers,13
Cardinals,26,Falcons,09
Chargers,10,Chiefs,31
Vikings,13,Eagles,00
Saints,14,Bears,35
Steelers,17,Browns,27
Raiders,27,Broncos,16
Colts,43,Bills,00
Packers,28,Lions,31
Giants,13,Cowboys,20
Rams,24,Falcons,16
Vikings,24,Packers,13
Bills,17,Jets,28
Lions,31,Oilers,07
Browns,27,Bengals,24
Eagles,10,Raiders,34
Cowboys,14,Saints,24
Bears,00,49ers,13
Colts,31,Giants,07
Chargers,16,Broncos,20
Cardinals,00,Redskins,20
Patriots,03,Dolphins,41
Steelers,16,Chiefs,38
Bills,03,Chargers,20
Bears,28,Lions,23
Bengals,27,Raiders,31
Dolphins,30,Jets,14
49ers,26,Cardinals,14
Patriots,21,Cowboys,44
Oilers,16,Steelers,23
Redskins,20,Chiefs,27
Broncos,27,Browns,00
Packers,13,Rams,30
Saints,06,Falcons,28
Giants,07,Eagles,23
Colts,03,Vikings,10
Vikings,17,Giants,10
Steelers,21,Colts,34
Saints,14,Redskins,24
Bengals,06,Oilers,10
Cardinals,28,Bills,23
Broncos,16,Eagles,17
Jets,21,Chargers,49
Chiefs,20,Raiders,20
Patriots,10,49ers,27
Cowboys,19,Bears,23
Dolphins,20,Rams,14
Falcons,31,Browns,14
Lions,14,Packers,14
Raiders,21,Saints,21
Chargers,17,Giants,35
Falcons,09,Bengals,06
Cowboys,16,Cardinals,13
49ers,13,Vikings,09
Browns,09,Steelers,26
Eagles,07,Redskins,07
Packers,17,Bears,14
Chiefs,10,Jets,13
Oilers,20,Patriots,28
Bills,00,Dolphins,34
Lions,24,Broncos,20
Rams,17,Colts,24
Redskins,15,Bears,16
Oilers,21,Raiders,41
Eagles,07,Cowboys,20
Steelers,21,Dolphins,24
Giants,21,Falcons,17
Packers,00,Vikings,03
Colts,14,Jets,13
Bengals,24,Broncos,10
Rams,21,Lions,13
Bills,33,Patriots,38
Browns,07,Chiefs,13
Saints,26,49ers,20
Cardinals,17,Chargers,20
Cowboys,13,Redskins,00
Vikings,23,Saints,10
Lions,28,Bears,03
Giants,13,Steelers,17
Eagles,37,Cardinals,20
Broncos,10,Chiefs,28
Oilers,13,Bengals,28
Jets,20,Bills,07
Chargers,33,Raiders,34
Colts,14,Dolphins,17
Patriots,07,Browns,27
49ers,06,Rams,17
Packers,21,Falcons,28
Rams,21,Cowboys,28
Chiefs,21,Lions,32
49ers,24,Jets,21
Redskins,20,Eagles,13
Chargers,00,Bengals,31
Patriots,20,Bills,27
Colts,37,Raiders,14
Browns,37,Oilers,24
Broncos,22,Steelers,10
Falcons,07,Vikings,24
Saints,29,Packers,21
Cardinals,24,Giants,07
Bears,03,Dolphins,34
Jets,10,Cowboys,52
Vikings,14,Chargers,30
Raiders,13,Falcons,24
Dolphins,13,Patriots,34
Packers,16,Cardinals,16
Bears,03,Broncos,06
Eagles,23,Lions,20
Saints,28,Rams,45
Bills,00,Colts,24
Bengals,27,Browns,31
Steelers,03,Oilers,29
Giants,07,Redskins,23
Chiefs,26,49ers,17
Lions,10,Vikings,29
Dolphins,03,Colts,14
Patriots,06,Jets,13
Raiders,14,Chiefs,16
Falcons,03,49ers,24
Steelers,21,Bengals,13
Browns,21,Saints,17
Bears,10,Packers,31
Cowboys,42,Giants,14
Broncos,17,Chargers,45
Cardinals,07,Eagles,19
Oilers,20,Bills,14
Redskins,38,Rams,24
Cardinals,12,Cowboys,31
Browns,20,Redskins,13
Broncos,13,Raiders,21
Eagles,41,Giants,28
Lions,27,49ers,31
Patriots,21,Colts,17
Vikings,27,Bears,10
Falcons,24,Saints,20
Bills,09,Chiefs,22
Chargers,33,Oilers,49
Packers,06,Dolphins,27
Bengals,21,Jets,35
Rams,23,Steelers,14
Chargers,03,49ers,34
Packers,26,Browns,10
Falcons,37,Bears,21
Bengals,31,Patriots,07
Giants,16,Lions,30
Jets,41,Bills,24
Saints,14,Rams,34
Raiders,28,Steelers,34
Eagles,06,Cowboys,28
Cardinals,10,Colts,03
Dolphins,20,Chiefs,10
Oilers,17,Broncos,30
Redskins,24,Vikings,21
Jets,44,Colts,34
Steelers,10,Bengals,15
Browns,27,Eagles,17
Falcons,20,Patriots,21
Cowboys,23,Giants,14
Rams,13,Bears,13
Raiders,20,Packers,14
Broncos,14,Chargers,37
Vikings,34,Lions,10
Cardinals,10,Redskins,24
49ers,20,Bills,27
Oilers,13,Dolphins,34
Chiefs,20,Saints,17
Jets,20,Oilers,26
Bengals,06,Browns,27
Rams,03,Falcons,31
Dolphins,16,Vikings,14
49ers,37,Saints,02
Colts,17,Bills,00
Redskins,23,Patriots,24
Cowboys,13,Packers,16
Chiefs,45,Broncos,24
Lions,38,Bears,24
Steelers,25,Cardinals,19
Chargers,17,Raiders,17
Giants,27,Eagles,12
Lions,26,Falcons,23
Cardinals,19,Vikings,17
49ers,07,Rams,31
Patriots,14,Bills,38
Steelers,13,Cowboys,17
Chargers,23,Colts,20
Broncos,10,Bengals,21
Bears,17,Packers,20
Dolphins,27,Jets,17
Eagles,00,Redskins,14
Chiefs,31,Browns,07
Saints,21,Giants,45
Raiders,34,Oilers,00
Bengals,23,Chiefs,16
Oilers,07,Steelers,24
Cowboys,21,Colts,00
Bears,17,Browns,00
Falcons,21,Saints,14
Chargers,10,Dolphins,24
Jets,41,Patriots,13
Rams,34,Eagles,03
Vikings,23,Broncos,20
Giants,23,49ers,17
Redskins,33,Cardinals,03
Bills,16,Raiders,28
Packers,24,Lions,23
Bills,23,Dolphins,24
Eagles,21,Chiefs,20
